strategy,net_premium,type,net_delta,net_gamma,net_theta,net_vega,requires,put_requires,hedge_shares,breakevens,max_profit,max_loss,breakevens_hedged,max_profit_hedged,max_loss_hedged,put_net_premium,put_type,put_net_delta,put_net_vega,put_hedge_shares,put_breakevens,put_max_profit,put_max_loss,horizon
A) Calendar — sell rich 9d vol,34.725,debit,0.0675,-0.00699,0.7019,0.7005,spread,naked,-0.0675,351.77|418.03,13.8696,-34.7202,347.64|410.49,13.8823,-48.3447,26.375,debit,0.0684,0.7009,-0.0684,354.92|412.57,12.2413,-35.0062,2026-07-31
B) Calendar — sell 37d vs 149d,24.275,debit,0.0328,-0.00321,0.1713,0.4623,spread,spread,-0.0328,339.41|428.53,17.6337,-24.2742,336.16|422.72,17.7041,-30.2267,19.65,debit,0.0321,0.4628,-0.0321,342.65|422.98,16.1378,-24.565,2026-08-28
C) Bullish diagonal — long 149d / short 9d OTM,45.225,debit,0.3524,-0.00492,0.4868,0.7525,spread,naked,-0.3524,371.48|536.48,22.6282,-45.2202,268.74|360.73|426.36,41.2371,-125.6154,6.675,debit,0.3863,0.7687,-0.3863,373.97|526.48,21.2215,-45.3062,2026-07-31
