expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2026-07-24,3,0.00822,128.0,1.007073,0.043,127.6401,0.50591,0.034242,-0.78158,0.04614,0.00494
2026-07-31,10,0.0274,128.0,0.807126,0.043,127.7454,0.52069,0.023372,-0.34661,0.08414,0.01637
2026-08-07,17,0.04658,130.0,1.057658,0.043,127.8508,0.51639,0.013686,-0.34795,0.10976,0.02573
2026-08-14,24,0.06575,130.0,0.975328,0.043,127.9563,0.5246,0.012478,-0.27121,0.13028,0.03625
2026-08-21,31,0.08493,130.0,0.925931,0.043,128.0618,0.53159,0.01155,-0.22733,0.14788,0.04669
2026-08-28,38,0.10411,130.0,0.900836,0.043,128.1675,0.53843,0.010707,-0.20023,0.16348,0.057
2026-09-18,59,0.16164,130.0,0.841466,0.043,128.485,0.5535,0.009159,-0.151,0.20281,0.08749
2026-10-16,87,0.23836,130.0,0.788426,0.043,128.9095,0.56772,0.008005,-0.11727,0.24493,0.12732
2026-11-20,122,0.33425,130.0,0.76273,0.043,129.4421,0.58345,0.006935,-0.09615,0.28783,0.17516
2026-12-18,150,0.41096,130.0,0.733991,0.043,129.8698,0.59217,0.006467,-0.08381,0.31757,0.2132
2027-01-15,178,0.48767,130.0,0.718534,0.043,130.2989,0.60082,0.006031,-0.07548,0.34406,0.25002
2027-02-19,213,0.58356,130.0,0.695753,0.043,130.8373,0.60943,0.00566,-0.06708,0.37413,0.29584
2027-03-19,241,0.66027,130.0,0.694348,0.043,131.2696,0.61766,0.005299,-0.06286,0.3955,0.33002
2027-06-17,331,0.90685,135.0,0.675739,0.043,132.6688,0.61588,0.004652,-0.05294,0.46415,0.42813
