expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2026-07-24,4,0.01096,120.0,0.858527,0.043,119.9065,0.51446,0.037013,-0.54356,0.05002,0.00629
2026-07-31,11,0.03014,120.0,0.795507,0.043,120.0054,0.52766,0.024045,-0.30609,0.0828,0.01707
2026-09-18,60,0.16438,120.0,0.830262,0.043,120.7002,0.57362,0.00972,-0.13801,0.19055,0.08618
2026-10-16,88,0.2411,120.0,0.796081,0.043,121.099,0.58658,0.008314,-0.10972,0.22922,0.1236
2026-11-20,123,0.33699,120.0,0.783476,0.043,121.5993,0.60122,0.007082,-0.09141,0.26858,0.16796
2026-12-18,151,0.4137,120.0,0.761617,0.043,122.0011,0.60976,0.006536,-0.08039,0.29582,0.20306
2027-01-15,179,0.49041,120.0,0.740223,0.043,122.4042,0.61694,0.006144,-0.07195,0.32034,0.23773
2027-02-19,214,0.5863,125.0,0.738406,0.043,122.9099,0.59982,0.005702,-0.06659,0.35459,0.26965
2027-03-19,242,0.66301,125.0,0.728227,0.043,123.316,0.60781,0.005407,-0.06179,0.37502,0.30183
2027-06-17,332,0.90959,125.0,0.709968,0.043,124.6305,0.63088,0.004649,-0.05129,0.43124,0.39998
