expiry,t_days,strike,moneyness,side,mid,iv
2026-07-24,4,120.0,1.0013,call,4.25,0.858356
2026-07-24,4,121.0,1.0096,call,3.8,0.860363
2026-07-24,4,122.0,1.0179,call,3.4,0.865181
2026-07-24,4,117.0,0.9762,put,3.0,0.869405
2026-07-24,4,118.0,0.9846,put,3.4,0.863371
2026-07-24,4,119.0,0.9929,put,3.85,0.860195
2026-07-31,11,120.0,1.0013,call,6.6,0.795468
2026-07-31,11,121.0,1.0096,call,6.2,0.802704
2026-07-31,11,122.0,1.0179,call,5.7,0.795042
2026-07-31,11,123.0,1.0263,call,5.3,0.796638
2026-07-31,11,124.0,1.0346,call,4.95,0.801588
2026-07-31,11,116.0,0.9679,put,4.8,0.810408
2026-07-31,11,117.0,0.9762,put,5.2,0.804986
2026-07-31,11,118.0,0.9846,put,5.7,0.809026
2026-07-31,11,119.0,0.9929,put,6.2,0.810057
2026-08-07,18,120.0,1.0013,call,9.65,0.905847
2026-08-07,18,125.0,1.043,call,7.5,0.9014
2026-08-07,18,115.0,0.9595,put,7.3,0.928756
2026-08-14,25,120.0,1.0013,call,11.6,0.921894
2026-08-14,25,125.0,1.043,call,9.5,0.921921
2026-08-14,25,115.0,0.9595,put,9.3,0.959315
2026-08-21,32,120.0,1.0013,call,12.9,0.904338
2026-08-21,32,125.0,1.043,call,10.7,0.896835
2026-08-21,32,115.0,0.9595,put,10.5,0.94001
2026-08-28,39,120.0,1.0013,call,14.05,0.890725
2026-08-28,39,125.0,1.043,call,11.7,0.873786
2026-08-28,39,115.0,0.9595,put,11.35,0.911532
2026-09-18,60,120.0,1.0013,call,16.3,0.82906
2026-09-18,60,125.0,1.043,call,14.4,0.837645
2026-09-18,60,130.0,1.0847,call,12.35,0.826742
2026-09-18,60,110.0,0.9178,put,11.25,0.868968
2026-09-18,60,115.0,0.9595,put,13.65,0.867053
2026-10-16,88,120.0,1.0013,call,19.05,0.7967
2026-10-16,88,125.0,1.043,call,16.95,0.793883
2026-10-16,88,130.0,1.0847,call,14.85,0.782828
2026-10-16,88,110.0,0.9178,put,13.4,0.826406
2026-10-16,88,115.0,0.9595,put,15.85,0.823437
2026-11-20,123,120.0,1.0013,call,22.25,0.784767
2026-11-20,123,125.0,1.043,call,20.15,0.780731
2026-11-20,123,130.0,1.0847,call,18.35,0.781639
2026-11-20,123,135.0,1.1264,call,16.45,0.773334
2026-11-20,123,110.0,0.9178,put,16.05,0.81322
2026-11-20,123,115.0,0.9595,put,18.65,0.81308
2026-12-18,151,120.0,1.0013,call,23.95,0.760075
2026-12-18,151,125.0,1.043,call,22.1,0.763927
2026-12-18,151,130.0,1.0847,call,20.25,0.762657
2026-12-18,151,135.0,1.1264,call,18.3,0.753496
2026-12-18,151,105.0,0.8761,put,15.0,0.79166
2026-12-18,151,110.0,0.9178,put,17.45,0.791028
2026-12-18,151,115.0,0.9595,put,20.1,0.791324
2027-01-15,179,120.0,1.0013,call,25.3,0.735103
2027-01-15,179,125.0,1.043,call,23.7,0.745752
2027-01-15,179,130.0,1.0847,call,21.9,0.745696
2027-01-15,179,135.0,1.1264,call,20.1,0.741629
2027-01-15,179,105.0,0.8761,put,16.15,0.77288
2027-01-15,179,110.0,0.9178,put,18.65,0.77263
2027-01-15,179,115.0,0.9595,put,21.25,0.770352
2027-02-19,214,120.0,1.0013,call,27.8,0.738297
2027-02-19,214,125.0,1.043,call,25.9,0.738484
2027-02-19,214,130.0,1.0847,call,24.05,0.736412
2027-02-19,214,135.0,1.1264,call,22.45,0.737874
2027-02-19,214,140.0,1.1681,call,20.85,0.736159
2027-02-19,214,105.0,0.8761,put,17.6,0.759896
2027-02-19,214,110.0,0.9178,put,20.3,0.764331
2027-02-19,214,115.0,0.9595,put,22.65,0.753611
2027-03-19,242,120.0,1.0013,call,29.15,0.726713
2027-03-19,242,125.0,1.043,call,27.35,0.728995
2027-03-19,242,130.0,1.0847,call,25.7,0.731874
2027-03-19,242,135.0,1.1264,call,23.6,0.719984
2027-03-19,242,140.0,1.1681,call,22.35,0.727354
2027-03-19,242,105.0,0.8761,put,18.4,0.743884
2027-03-19,242,110.0,0.9178,put,21.25,0.751796
2027-03-19,242,115.0,0.9595,put,23.65,0.742519
2027-06-17,332,120.0,1.0013,call,33.9,0.720639
2027-06-17,332,125.0,1.043,call,31.6,0.709117
2027-06-17,332,130.0,1.0847,call,29.8,0.707005
2027-06-17,332,135.0,1.1264,call,27.9,0.700446
2027-06-17,332,140.0,1.1681,call,26.9,0.711912
2027-06-17,332,105.0,0.8761,put,21.6,0.732947
2027-06-17,332,110.0,0.9178,put,24.45,0.737545
2027-06-17,332,115.0,0.9595,put,27.05,0.732745
