strategy,net_premium,type,net_delta,net_gamma,net_theta,net_vega,requires,put_requires,hedge_shares,breakevens,max_profit,max_loss,breakevens_hedged,max_profit_hedged,max_loss_hedged,put_net_premium,put_type,put_net_delta,put_net_vega,put_hedge_shares,put_breakevens,put_max_profit,put_max_loss,horizon
A) Term-vol butterfly — sell the 38d peak,-4.75,credit,-0.014,0.01065,-0.1061,-0.0385,naked,naked,0.014,114.52|134.83,6.1055,-4.2286,114.17|134.36,7.4564,-4.2205,-6.0,credit,-0.0158,-0.0385,0.0158,114.56|134.89,6.4868,-4.2614,2026-07-31
B) Calendar — sell 59d vs 150d,7.75,debit,0.0392,-0.00293,0.064,0.1098,spread,spread,-0.0392,100.08|169.41,11.8629,-7.7235,97.07|160.92,11.8026,-9.4946,7.05,debit,0.0413,0.109,-0.0413,99.57|171.05,12.2886,-8.338,2026-09-18
C) Bullish diagonal — long 150d / short 38d OTM,13.9,debit,0.1487,-0.00466,0.1092,0.1476,spread,naked,-0.1487,110.34|212.69,13.5616,-13.8297,103.9|163.35,12.0026,-17.7285,3.8,debit,0.1446,0.1461,-0.1446,109.26|214.94,14.2109,-14.3285,2026-08-28
