expiry,t_days,strike,moneyness,side,mid,iv
2026-07-24,3,124.0,1.0037,call,4.0,0.939757
2026-07-24,3,125.0,1.0118,call,3.6,0.95064
2026-07-24,3,126.0,1.0199,call,3.2,0.953415
2026-07-24,3,121.0,0.9794,put,3.05,0.95388
2026-07-24,3,122.0,0.9875,put,3.5,0.95641
2026-07-24,3,123.0,0.9956,put,4.0,0.96167
2026-07-31,10,124.0,1.0037,call,6.7,0.840019
2026-07-31,10,125.0,1.0118,call,6.2,0.83426
2026-07-31,10,126.0,1.0199,call,5.8,0.837975
2026-07-31,10,127.0,1.028,call,5.4,0.83896
2026-07-31,10,128.0,1.0361,call,5.1,0.849688
2026-07-31,10,119.0,0.9633,put,4.75,0.855057
2026-07-31,10,120.0,0.9713,put,5.2,0.85748
2026-07-31,10,121.0,0.9794,put,5.65,0.856911
2026-07-31,10,122.0,0.9875,put,6.1,0.853481
2026-07-31,10,123.0,0.9956,put,6.65,0.8596
2026-08-07,17,125.0,1.0118,call,11.0,1.087299
2026-08-07,17,130.0,1.0523,call,8.75,1.065253
2026-08-07,17,120.0,0.9713,put,9.85,1.114364
2026-08-14,24,125.0,1.0118,call,12.05,0.994916
2026-08-14,24,130.0,1.0523,call,9.85,0.980705
2026-08-14,24,115.0,0.9309,put,8.7,1.041012
2026-08-14,24,120.0,0.9713,put,10.9,1.027654
2026-08-21,31,125.0,1.0118,call,13.1,0.94576
2026-08-21,31,130.0,1.0523,call,11.0,0.940267
2026-08-21,31,115.0,0.9309,put,9.7,0.994849
2026-08-21,31,120.0,0.9713,put,12.0,0.986937
2026-08-28,38,125.0,1.0118,call,14.05,0.911547
2026-08-28,38,130.0,1.0523,call,11.95,0.906469
2026-08-28,38,134.0,1.0847,call,10.5,0.905556
2026-08-28,38,115.0,0.9309,put,10.55,0.959475
2026-08-28,38,120.0,0.9713,put,12.9,0.953257
2026-09-18,59,125.0,1.0118,call,16.65,0.857351
2026-09-18,59,130.0,1.0523,call,14.65,0.857617
2026-09-18,59,135.0,1.0928,call,12.75,0.852257
2026-09-18,59,115.0,0.9309,put,12.8,0.900295
2026-09-18,59,120.0,0.9713,put,15.25,0.896181
2026-10-16,87,125.0,1.0118,call,19.45,0.816951
2026-10-16,87,130.0,1.0523,call,17.25,0.807811
2026-10-16,87,135.0,1.0928,call,15.45,0.807819
2026-10-16,87,115.0,0.9309,put,15.05,0.851122
2026-10-16,87,120.0,0.9713,put,17.65,0.851237
2026-11-20,122,125.0,1.0118,call,22.55,0.793644
2026-11-20,122,130.0,1.0523,call,20.75,0.798833
2026-11-20,122,135.0,1.0928,call,18.9,0.796643
2026-11-20,122,140.0,1.1332,call,17.15,0.792848
2026-11-20,122,110.0,0.8904,put,15.45,0.838857
2026-11-20,122,115.0,0.9309,put,17.95,0.838743
2026-11-20,122,120.0,0.9713,put,20.55,0.835824
2026-12-18,150,125.0,1.0118,call,24.4,0.770699
2026-12-18,150,130.0,1.0523,call,22.45,0.769867
2026-12-18,150,135.0,1.0928,call,20.65,0.769205
2026-12-18,150,140.0,1.1332,call,19.1,0.772151
2026-12-18,150,110.0,0.8904,put,17.05,0.820727
2026-12-18,150,115.0,0.9309,put,19.5,0.817012
2026-12-18,150,120.0,0.9713,put,22.2,0.81652
2027-01-15,178,125.0,1.0118,call,26.15,0.755291
2027-01-15,178,130.0,1.0523,call,24.15,0.752368
2027-01-15,178,135.0,1.0928,call,22.4,0.752878
2027-01-15,178,140.0,1.1332,call,20.75,0.752579
2027-01-15,178,110.0,0.8904,put,18.1,0.794367
2027-01-15,178,115.0,0.9309,put,20.65,0.793213
2027-01-15,178,120.0,0.9713,put,23.35,0.792063
2027-02-19,213,125.0,1.0118,call,28.0,0.736155
2027-02-19,213,130.0,1.0523,call,26.85,0.756029
2027-02-19,213,135.0,1.0928,call,24.45,0.738257
2027-02-19,213,140.0,1.1332,call,22.8,0.737769
2027-02-19,213,110.0,0.8904,put,19.65,0.780562
2027-02-19,213,115.0,0.9309,put,22.45,0.785579
2027-02-19,213,120.0,0.9713,put,25.2,0.784837
2027-03-19,241,125.0,1.0118,call,29.6,0.729878
2027-03-19,241,130.0,1.0523,call,27.8,0.731267
2027-03-19,241,135.0,1.0928,call,26.05,0.730863
2027-03-19,241,140.0,1.1332,call,24.4,0.730174
2027-03-19,241,145.0,1.1737,call,22.75,0.726866
2027-03-19,241,110.0,0.8904,put,20.9,0.775323
2027-03-19,241,115.0,0.9309,put,23.35,0.769334
2027-03-19,241,120.0,0.9713,put,26.2,0.770957
2027-06-17,331,125.0,1.0118,call,33.8,0.706682
2027-06-17,331,130.0,1.0523,call,32.45,0.71658
2027-06-17,331,135.0,1.0928,call,30.4,0.708434
2027-06-17,331,140.0,1.1332,call,29.2,0.716935
2027-06-17,331,145.0,1.1737,call,27.3,0.708197
2027-06-17,331,105.0,0.8499,put,21.0,0.744127
2027-06-17,331,110.0,0.8904,put,23.9,0.751628
2027-06-17,331,115.0,0.9309,put,26.4,0.745953
2027-06-17,331,120.0,0.9713,put,29.1,0.742629
