strategy,net_premium,type,net_delta,net_gamma,net_theta,net_vega,breakevens,max_profit,max_loss,horizon
A) Call time butterfly (sell the Aug hump),-0.45,credit,-0.0649,0.00776,-0.0814,-0.0113,200.86|220.9|238.74,2.7508,-3.1607,2026-07-31
B) ATM call calendar (sell Aug / buy long),14.325,debit,0.0258,-0.01033,0.0734,0.2775,192.27|223.22,6.5916,-14.3249,2026-08-21
C) Bullish call diagonal (long far / short near OTM hump),21.77,debit,0.3545,-0.00721,0.0298,0.3292,206.48,11.94,-21.7699,2026-08-21
