expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2026-09-18,59,0.16164,210.0,0.422537,0.043,208.1062,0.5125,0.011353,-0.12918,0.33131,0.15002
2026-10-16,87,0.23836,210.0,0.414704,0.043,208.7721,0.52864,0.009504,-0.10624,0.40143,0.22206
2026-11-20,122,0.33425,210.0,0.428325,0.043,209.6075,0.54603,0.007738,-0.09359,0.47334,0.30979
2026-12-18,150,0.41096,210.0,0.419635,0.043,210.2782,0.55513,0.007101,-0.08367,0.52325,0.38024
2027-01-15,178,0.48767,210.0,0.418856,0.043,210.9511,0.56386,0.006508,-0.07725,0.56803,0.44925
2027-02-19,213,0.58356,210.0,0.415198,0.043,211.7952,0.5731,0.005976,-0.07066,0.61874,0.53492
2027-03-19,241,0.66027,210.0,0.421714,0.043,212.4729,0.58089,0.005509,-0.06762,0.6555,0.60036
2027-06-17,331,0.90685,215.0,0.423551,0.043,214.6659,0.5777,0.004686,-0.05896,0.76915,0.78491
