expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2026-07-24,4,0.01096,370.0,0.797841,0.043,369.7442,0.51335,0.012917,-1.55933,0.15426,0.01946
2026-07-27,7,0.01918,370.0,0.636077,0.043,369.8749,0.51604,0.012245,-0.94786,0.20401,0.0341
2026-07-29,9,0.02466,367.5,0.615219,0.043,369.9621,0.54674,0.011097,-0.80784,0.22993,0.04601
2026-07-31,11,0.03014,370.0,0.599047,0.043,370.0492,0.52124,0.010365,-0.71684,0.25559,0.05343
2026-08-07,18,0.04932,370.0,0.537295,0.043,370.3545,0.52698,0.009026,-0.50839,0.32666,0.08729
2026-08-14,25,0.06849,370.0,0.509802,0.043,370.6601,0.53191,0.008065,-0.41297,0.38463,0.12096
2026-08-21,32,0.08767,370.0,0.494241,0.043,370.9659,0.53625,0.007346,-0.35649,0.43475,0.15445
2026-08-28,39,0.10685,370.0,0.488362,0.043,371.2719,0.54035,0.006728,-0.32089,0.47947,0.18761
2026-09-18,60,0.16438,370.0,0.46803,0.043,372.1916,0.55013,0.005644,-0.25184,0.59305,0.28662
2026-10-16,88,0.2411,375.0,0.464396,0.043,373.4213,0.53805,0.004712,-0.20971,0.72064,0.40023
2026-11-20,123,0.33699,375.0,0.478422,0.043,374.9642,0.55509,0.00385,-0.18422,0.84771,0.55381
2026-12-18,151,0.4137,375.0,0.473656,0.043,376.2031,0.56468,0.003497,-0.16603,0.93582,0.67608
2027-01-15,179,0.49041,380.0,0.471883,0.043,377.4461,0.55757,0.003233,-0.15336,1.02172,0.77798
2027-03-19,242,0.66301,380.0,0.478356,0.043,380.2579,0.57789,0.002718,-0.13481,1.17756,1.03694
2027-06-17,332,0.90959,380.0,0.487936,0.043,384.3112,0.60138,0.002244,-0.11795,1.36049,1.38753
