expiry,t_days,strike,moneyness,side,mid,iv
2026-07-24,4,370.0,1.0012,call,12.2,0.798653
2026-07-24,4,372.5,1.0079,call,11.075,0.800887
2026-07-24,4,375.0,1.0147,call,10.0,0.801239
2026-07-24,4,377.5,1.0215,call,9.0,0.801434
2026-07-24,4,362.5,0.9809,put,8.75,0.787065
2026-07-24,4,365.0,0.9876,put,9.875,0.789154
2026-07-24,4,367.5,0.9944,put,11.075,0.790714
2026-07-27,7,370.0,1.0012,call,12.925,0.63618
2026-07-27,7,372.5,1.0079,call,11.775,0.636829
2026-07-27,7,375.0,1.0147,call,10.7,0.637471
2026-07-27,7,377.5,1.0215,call,9.7,0.638187
2026-07-27,7,362.5,0.9809,put,9.45,0.633355
2026-07-27,7,365.0,0.9876,put,10.6,0.635676
2026-07-27,7,367.5,0.9944,put,11.75,0.634128
2026-07-29,9,372.5,1.0079,call,13.075,0.616095
2026-07-29,9,375.0,1.0147,call,12.0,0.617015
2026-07-29,9,377.5,1.0215,call,10.975,0.61719
2026-07-29,9,360.0,0.9741,put,9.625,0.615134
2026-07-29,9,362.5,0.9809,put,10.675,0.615031
2026-07-29,9,365.0,0.9876,put,11.8,0.615143
2026-07-29,9,367.5,0.9944,put,12.975,0.614369
2026-07-31,11,370.0,1.0012,call,15.35,0.599073
2026-07-31,11,372.5,1.0079,call,14.15,0.597732
2026-07-31,11,375.0,1.0147,call,13.075,0.598781
2026-07-31,11,377.5,1.0215,call,12.05,0.599333
2026-07-31,11,380.0,1.0282,call,11.075,0.599435
2026-07-31,11,360.0,0.9741,put,10.575,0.596962
2026-07-31,11,362.5,0.9809,put,11.625,0.596169
2026-07-31,11,365.0,0.9876,put,12.75,0.595774
2026-07-31,11,367.5,0.9944,put,13.95,0.595754
2026-08-07,18,370.0,1.0012,call,17.75,0.537284
2026-08-07,18,375.0,1.0147,call,15.475,0.537444
2026-08-07,18,380.0,1.0282,call,13.4,0.537013
2026-08-07,18,360.0,0.9741,put,12.625,0.536308
2026-08-07,18,365.0,0.9876,put,14.875,0.536135
2026-08-14,25,370.0,1.0012,call,19.975,0.509933
2026-08-14,25,375.0,1.0147,call,17.65,0.50894
2026-08-14,25,380.0,1.0282,call,15.55,0.508685
2026-08-14,25,360.0,0.9741,put,14.5,0.509249
2026-08-14,25,365.0,0.9876,put,16.75,0.508108
2026-08-21,32,370.0,1.0012,call,22.025,0.494508
2026-08-21,32,375.0,1.0147,call,19.675,0.493125
2026-08-21,32,380.0,1.0282,call,17.55,0.49279
2026-08-21,32,385.0,1.0418,call,15.6,0.492471
2026-08-21,32,360.0,0.9741,put,16.25,0.494954
2026-08-21,32,365.0,0.9876,put,18.5,0.493245
2026-08-28,39,370.0,1.0012,call,24.15,0.489211
2026-08-28,39,375.0,1.0147,call,21.7,0.485875
2026-08-28,39,380.0,1.0282,call,19.5,0.484318
2026-08-28,39,385.0,1.0418,call,17.525,0.484091
2026-08-28,39,355.0,0.9606,put,15.775,0.487908
2026-08-28,39,360.0,0.9741,put,17.9,0.486776
2026-08-28,39,365.0,0.9876,put,20.2,0.485758
2026-09-18,60,370.0,1.0012,call,28.95,0.467947
2026-09-18,60,375.0,1.0147,call,26.675,0.468137
2026-09-18,60,380.0,1.0282,call,24.45,0.466855
2026-09-18,60,385.0,1.0418,call,22.45,0.467085
2026-09-18,60,390.0,1.0553,call,20.55,0.466796
2026-09-18,60,355.0,0.9606,put,19.675,0.469439
2026-09-18,60,360.0,0.9741,put,21.9,0.468966
2026-09-18,60,365.0,0.9876,put,24.3,0.469037
2026-10-16,88,370.0,1.0012,call,35.15,0.464911
2026-10-16,88,375.0,1.0147,call,32.825,0.464158
2026-10-16,88,380.0,1.0282,call,30.65,0.463904
