strategy,qty,kind,expiration,t_days,strike,bid,ask,mid,iv,delta,gamma,theta,vega
A) Call time butterfly (sell the Aug hump),1,C,2026-07-31,10,126.0,5.5,5.6,5.55,0.679396,0.51738,0.028202,-0.28864,0.08291
A) Call time butterfly (sell the Aug hump),-2,C,2026-08-21,31,125.0,12.4,12.8,12.6,0.828896,0.56282,0.012978,-0.19976,0.1443
A) Call time butterfly (sell the Aug hump),1,C,2026-09-18,59,125.0,15.3,16.0,15.65,0.744935,0.57569,0.010408,-0.13164,0.19793
B) ATM call calendar (sell Aug / buy long),-1,C,2026-08-21,31,125.0,12.4,12.8,12.6,0.828896,0.56282,0.012978,-0.19976,0.1443
B) ATM call calendar (sell Aug / buy long),1,C,2026-12-18,150,125.0,22.8,24.3,23.55,0.701085,0.60872,0.006799,-0.07854,0.30939
"C) Call diagonal (bullish, financed by hump vol)",-1,C,2026-08-21,31,125.0,12.4,12.8,12.6,0.828896,0.56282,0.012978,-0.19976,0.1443
"C) Call diagonal (bullish, financed by hump vol)",1,C,2026-12-18,150,140.0,18.0,18.6,18.3,0.712745,0.5123,0.006944,-0.08175,0.32125
