strategy,net_premium,type,net_delta,net_gamma,net_theta,net_vega,breakevens,peak_S,max_val
A) Call time butterfly (sell the Aug hump),-3.5,credit,-0.0294,0.01255,-0.0231,-0.0079,,,
B) ATM call calendar (sell Aug / buy long),10.95,debit,0.0449,-0.00623,0.1202,0.1652,106.48|156.72,124.99,9.5394
"C) Bullish call diagonal (long far, short near OTM hump)",14.7,debit,0.1686,-0.00594,0.124,0.1649,,,
