expiry,t_days,strike,moneyness,side,mid,iv
2026-07-24,3,127.0,1.0043,call,3.95,0.915739
2026-07-24,3,128.0,1.0122,call,3.55,0.925766
2026-07-24,3,129.0,1.0201,call,3.25,0.950105
2026-07-24,3,123.0,0.9727,put,3.65,1.156506
2026-07-24,3,124.0,0.9806,put,4.1,1.16105
2026-07-24,3,125.0,0.9885,put,4.65,1.180888
2026-07-24,3,126.0,0.9964,put,5.25,1.204685
2026-07-31,10,127.0,1.0043,call,6.3,0.777241
2026-07-31,10,128.0,1.0122,call,5.85,0.777488
2026-07-31,10,129.0,1.0201,call,5.5,0.786877
2026-07-31,10,130.0,1.028,call,5.15,0.793548
2026-07-31,10,131.0,1.0359,call,4.9,0.809772
2026-07-31,10,122.0,0.9648,put,5.4,0.912772
2026-07-31,10,123.0,0.9727,put,6.05,0.938474
2026-07-31,10,124.0,0.9806,put,6.4,0.924179
2026-07-31,10,125.0,0.9885,put,7.15,0.956173
2026-07-31,10,126.0,0.9964,put,7.75,0.967151
2026-08-07,17,130.0,1.028,call,9.4,0.996114
2026-08-07,17,134.0,1.0597,call,7.8,0.989542
2026-08-07,17,120.0,0.949,put,9.05,1.145168
2026-08-07,17,125.0,0.9885,put,11.4,1.13412
2026-08-14,24,130.0,1.028,call,10.85,0.94705
2026-08-14,24,134.0,1.0597,call,9.25,0.942786
2026-08-14,24,135.0,1.0676,call,8.85,0.939415
2026-08-14,24,120.0,0.949,put,10.25,1.065899
2026-08-14,24,125.0,0.9885,put,12.8,1.068856
2026-08-21,31,130.0,1.028,call,11.5,0.874525
2026-08-21,31,135.0,1.0676,call,9.75,0.885575
2026-08-21,31,120.0,0.949,put,11.2,1.009679
2026-08-21,31,125.0,0.9885,put,13.65,1.003194
2026-08-28,38,130.0,1.028,call,12.6,0.854816
2026-08-28,38,134.0,1.0597,call,11.1,0.858298
2026-08-28,38,135.0,1.0676,call,10.9,0.868369
2026-08-28,38,136.0,1.0755,call,10.55,0.868607
2026-08-28,38,120.0,0.949,put,12.25,0.983365
2026-08-28,38,125.0,0.9885,put,14.65,0.972286
2026-09-18,59,130.0,1.028,call,15.35,0.815525
2026-09-18,59,135.0,1.0676,call,13.35,0.811877
2026-09-18,59,115.0,0.9094,put,12.15,0.917959
2026-09-18,59,120.0,0.949,put,14.55,0.917104
2026-09-18,59,125.0,0.9885,put,17.2,0.91765
2026-10-16,87,130.0,1.028,call,17.9,0.768783
2026-10-16,87,135.0,1.0676,call,16.05,0.77164
2026-10-16,87,140.0,1.1071,call,14.45,0.777176
2026-10-16,87,115.0,0.9094,put,14.4,0.865538
2026-10-16,87,120.0,0.949,put,16.8,0.861196
2026-10-16,87,125.0,0.9885,put,19.45,0.859458
2026-11-20,122,130.0,1.028,call,21.2,0.756468
2026-11-20,122,135.0,1.0676,call,19.5,0.763279
2026-11-20,122,140.0,1.1071,call,17.8,0.764621
2026-11-20,122,115.0,0.9094,put,17.3,0.850515
2026-11-20,122,120.0,0.949,put,19.85,0.848814
2026-11-20,122,125.0,0.9885,put,22.6,0.848442
2026-12-18,150,130.0,1.028,call,23.1,0.736853
2026-12-18,150,135.0,1.0676,call,21.05,0.731605
2026-12-18,150,140.0,1.1071,call,19.65,0.74207
2026-12-18,150,115.0,0.9094,put,18.7,0.822084
2026-12-18,150,120.0,0.949,put,21.5,0.827665
2026-12-18,150,125.0,0.9885,put,23.95,0.816554
2027-01-15,178,130.0,1.028,call,24.85,0.72253
2027-01-15,178,135.0,1.0676,call,22.7,0.714334
2027-01-15,178,140.0,1.1071,call,21.25,0.722381
2027-01-15,178,145.0,1.1467,call,19.75,0.725298
2027-01-15,178,110.0,0.8699,put,17.3,0.796142
2027-01-15,178,115.0,0.9094,put,19.85,0.797538
2027-01-15,178,120.0,0.949,put,22.55,0.798767
2027-01-15,178,125.0,0.9885,put,25.25,0.795587
2027-02-19,213,130.0,1.028,call,26.7,0.704533
2027-02-19,213,135.0,1.0676,call,24.75,0.70179
2027-02-19,213,140.0,1.1071,call,23.15,0.70496
2027-02-19,213,145.0,1.1467,call,21.45,0.702395
2027-02-19,213,110.0,0.8699,put,19.0,0.786505
2027-02-19,213,115.0,0.9094,put,21.4,0.781736
2027-02-19,213,120.0,0.949,put,24.2,0.78467
2027-02-19,213,125.0,0.9885,put,27.65,0.801762
2027-03-19,241,130.0,1.028,call,27.95,0.689859
2027-03-19,241,135.0,1.0676,call,26.65,0.703181
2027-03-19,241,140.0,1.1071,call,24.8,0.699632
2027-03-19,241,145.0,1.1467,call,23.45,0.705664
2027-03-19,241,110.0,0.8699,put,20.4,0.785027
2027-03-19,241,115.0,0.9094,put,23.35,0.794595
2027-03-19,241,120.0,0.949,put,25.7,0.783856
2027-03-19,241,125.0,0.9885,put,28.6,0.784894
2027-06-17,331,130.0,1.028,call,33.25,0.693405
2027-06-17,331,135.0,1.0676,call,31.75,0.699083
2027-06-17,331,140.0,1.1071,call,29.15,0.678919
2027-06-17,331,145.0,1.1467,call,27.7,0.68153
2027-06-17,331,150.0,1.1862,call,26.5,0.687428
2027-06-17,331,110.0,0.8699,put,23.5,0.761852
2027-06-17,331,115.0,0.9094,put,26.3,0.764592
2027-06-17,331,120.0,0.949,put,29.2,0.76686
2027-06-17,331,125.0,0.9885,put,31.6,0.755146
