expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2026-07-24,3,0.00822,126.0,1.060298,0.043,126.4997,0.53555,0.032689,-0.8124,0.04555,0.00515
2026-07-31,10,0.0274,127.0,0.852433,0.043,126.6041,0.51931,0.022333,-0.3624,0.0834,0.01609
2026-08-07,17,0.04658,125.0,1.086963,0.043,126.7085,0.56952,0.013244,-0.34977,0.10722,0.02767
2026-08-14,24,0.06575,125.0,1.024688,0.043,126.813,0.57385,0.0118,-0.27831,0.12714,0.03848
2026-08-21,31,0.08493,125.0,0.953845,0.043,126.9177,0.57682,0.011138,-0.22882,0.14429,0.04934
2026-08-28,38,0.10411,125.0,0.924772,0.043,127.0224,0.58043,0.010357,-0.2008,0.15946,0.05985
2026-09-18,59,0.16164,125.0,0.869917,0.043,127.337,0.59011,0.008789,-0.1523,0.19763,0.09059
2026-10-16,87,0.23836,130.0,0.809446,0.043,127.7577,0.56102,0.00789,-0.11937,0.24341,0.12407
2026-11-20,122,0.33425,130.0,0.788004,0.043,128.2856,0.57873,0.00679,-0.09837,0.28596,0.17074
2026-12-18,150,0.41096,130.0,0.757424,0.043,128.7095,0.58793,0.006339,-0.08562,0.31552,0.20793
2027-01-15,178,0.48767,130.0,0.735173,0.043,129.1347,0.59626,0.005965,-0.07653,0.34199,0.24441
2027-02-19,213,0.58356,130.0,0.710983,0.043,129.6683,0.60521,0.005605,-0.06791,0.3719,0.2894
2027-03-19,241,0.66027,130.0,0.690116,0.043,130.0967,0.61092,0.005407,-0.06222,0.39398,0.32547
2027-06-17,331,0.90685,130.0,0.69509,0.043,131.4835,0.63612,0.004486,-0.05303,0.45217,0.42726
