expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2026-07-24,3,0.00822,127.0,1.059877,0.043,127.0499,0.52079,0.032646,-0.81754,0.04587,0.00503
2026-07-31,10,0.0274,127.0,0.869578,0.043,127.1547,0.53205,0.021753,-0.37056,0.08359,0.0165
2026-08-07,17,0.04658,125.0,1.102023,0.043,127.2596,0.57701,0.012961,-0.35489,0.1073,0.02804
2026-08-14,24,0.06575,125.0,0.989731,0.043,127.3646,0.57955,0.01213,-0.26958,0.12733,0.03925
2026-08-21,31,0.08493,125.0,0.959269,0.043,127.4697,0.58307,0.010992,-0.23042,0.14445,0.04995
2026-08-28,38,0.10411,130.0,0.918164,0.043,127.5748,0.5337,0.010565,-0.20315,0.1629,0.05607
2026-09-18,59,0.16164,130.0,0.865589,0.043,127.8908,0.55053,0.008954,-0.1545,0.20207,0.08609
2026-10-16,87,0.23836,130.0,0.81097,0.043,128.3134,0.56552,0.007826,-0.11993,0.24402,0.12534
2026-11-20,122,0.33425,130.0,0.781887,0.043,128.8436,0.5817,0.006803,-0.09798,0.28677,0.17258
2026-12-18,150,0.41096,130.0,0.768385,0.043,129.2693,0.59284,0.006203,-0.08692,0.31598,0.20907
2027-01-15,178,0.48767,130.0,0.738804,0.043,129.6964,0.60003,0.005896,-0.07706,0.34265,0.24613
2027-02-19,213,0.58356,130.0,0.723157,0.043,130.2323,0.61005,0.005468,-0.06905,0.37224,0.29033
2027-03-19,241,0.66027,130.0,0.714225,0.043,130.6626,0.61751,0.005176,-0.06413,0.39372,0.32472
2027-06-17,331,0.90685,130.0,0.69162,0.043,132.0553,0.638,0.004481,-0.05296,0.45334,0.43085
