expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2026-07-24,3,0.00822,127.0,0.947123,0.043,127.0044,0.51728,0.036561,-0.73139,0.04588,0.00504
2026-07-31,10,0.0274,127.0,0.787896,0.043,127.1092,0.52862,0.024033,-0.33654,0.08362,0.01656
2026-08-07,17,0.04658,125.0,1.078606,0.043,127.214,0.57606,0.013253,-0.34755,0.10732,0.0281
2026-08-14,24,0.06575,125.0,1.000305,0.043,127.319,0.57923,0.012008,-0.27232,0.12731,0.03913
2026-08-21,31,0.08493,125.0,0.952662,0.043,127.424,0.58238,0.011076,-0.22888,0.14445,0.04995
2026-08-28,38,0.10411,130.0,0.918905,0.043,127.5291,0.53328,0.010561,-0.20325,0.16286,0.05601
2026-09-18,59,0.16164,130.0,0.854121,0.043,127.845,0.54896,0.009082,-0.15257,0.2021,0.08614
2026-10-16,87,0.23836,130.0,0.801763,0.043,128.2674,0.56413,0.007924,-0.11867,0.24408,0.12546
2026-11-20,122,0.33425,130.0,0.772156,0.043,128.7974,0.58019,0.006896,-0.09688,0.28689,0.17287
2026-12-18,150,0.41096,130.0,0.746045,0.043,129.223,0.58963,0.006404,-0.08473,0.31646,0.2103
2027-01-15,178,0.48767,130.0,0.729371,0.043,129.6499,0.59847,0.00598,-0.07621,0.34287,0.24674
2027-02-19,213,0.58356,130.0,0.700374,0.043,130.1856,0.60649,0.005663,-0.06724,0.37305,0.29265
2027-03-19,241,0.66027,130.0,0.694951,0.043,130.6158,0.61437,0.005334,-0.06272,0.39453,0.3271
2027-06-17,331,0.90685,130.0,0.684601,0.043,132.008,0.63664,0.004534,-0.05254,0.45375,0.43216
