expiry,t_days,strike,moneyness,side,mid,iv
2026-07-24,3,127.0,1.0013,call,4.55,1.004205
2026-07-24,3,128.0,1.0091,call,3.95,0.973769
2026-07-24,3,129.0,1.017,call,3.55,0.979395
2026-07-24,3,130.0,1.0249,call,3.5,1.055696
2026-07-24,3,124.0,0.9776,put,3.6,1.082564
2026-07-24,3,125.0,0.9855,put,4.1,1.095354
2026-07-24,3,126.0,0.9934,put,4.6,1.100719
2026-07-31,10,127.0,1.0013,call,6.75,0.807097
2026-07-31,10,128.0,1.0091,call,6.65,0.850189
2026-07-31,10,129.0,1.017,call,5.95,0.818894
2026-07-31,10,130.0,1.0249,call,5.5,0.814753
2026-07-31,10,131.0,1.0328,call,5.05,0.807888
2026-07-31,10,122.0,0.9618,put,5.0,0.880163
2026-07-31,10,123.0,0.9697,put,5.6,0.901291
2026-07-31,10,124.0,0.9776,put,6.0,0.894565
2026-07-31,10,125.0,0.9855,put,6.45,0.891453
2026-07-31,10,126.0,0.9934,put,7.0,0.89784
2026-08-07,17,130.0,1.0249,call,10.05,1.038075
2026-08-07,17,134.0,1.0564,call,8.4,1.029288
2026-08-07,17,120.0,0.9461,put,8.65,1.119775
2026-08-07,17,125.0,0.9855,put,11.15,1.126138
2026-08-14,24,130.0,1.0249,call,11.0,0.943472
2026-08-14,24,134.0,1.0564,call,9.45,0.944564
2026-08-14,24,135.0,1.0643,call,8.95,0.93381
2026-08-14,24,120.0,0.9461,put,9.9,1.048743
2026-08-14,24,125.0,0.9855,put,12.2,1.034478
2026-08-21,31,130.0,1.0249,call,12.4,0.922155
2026-08-21,31,135.0,1.0643,call,10.25,0.907608
2026-08-21,31,120.0,0.9461,put,10.85,0.994611
2026-08-21,31,125.0,0.9855,put,13.2,0.983201
2026-08-28,38,130.0,1.0249,call,13.0,0.866994
2026-08-28,38,134.0,1.0564,call,11.75,0.886802
2026-08-28,38,135.0,1.0643,call,11.35,0.884849
2026-08-28,38,136.0,1.0722,call,10.85,0.876144
2026-08-28,38,137.0,1.0801,call,10.55,0.879135
2026-08-28,38,120.0,0.9461,put,11.65,0.95349
2026-08-28,38,125.0,0.9855,put,14.3,0.960374
2026-09-18,59,130.0,1.0249,call,16.1,0.842306
2026-09-18,59,135.0,1.0643,call,13.95,0.831991
2026-09-18,59,120.0,0.9461,put,14.15,0.903495
2026-09-18,59,125.0,0.9855,put,16.7,0.900249
2026-10-16,87,130.0,1.0249,call,18.6,0.788655
2026-10-16,87,135.0,1.0643,call,16.55,0.783818
2026-10-16,87,140.0,1.1038,call,14.9,0.787903
2026-10-16,87,115.0,0.9067,put,14.05,0.85532
2026-10-16,87,120.0,0.9461,put,16.65,0.860675
2026-10-16,87,125.0,0.9855,put,19.3,0.85955
2026-11-20,122,130.0,1.0249,call,21.7,0.766165
2026-11-20,122,135.0,1.0643,call,19.8,0.766405
2026-11-20,122,140.0,1.1038,call,18.05,0.766447
2026-11-20,122,115.0,0.9067,put,17.05,0.845646
2026-11-20,122,120.0,0.9461,put,19.45,0.839047
2026-11-20,122,125.0,0.9855,put,22.3,0.842963
2026-12-18,150,130.0,1.0249,call,23.6,0.74552
2026-12-18,150,135.0,1.0643,call,21.95,0.752994
2026-12-18,150,140.0,1.1038,call,20.1,0.749723
2026-12-18,150,145.0,1.1432,call,18.6,0.753147
2026-12-18,150,115.0,0.9067,put,18.4,0.815901
2026-12-18,150,120.0,0.9461,put,20.95,0.813716
2026-12-18,150,125.0,0.9855,put,23.8,0.816363
2027-01-15,178,130.0,1.0249,call,25.6,0.737724
2027-01-15,178,135.0,1.0643,call,23.6,0.733933
2027-01-15,178,140.0,1.1038,call,22.05,0.739249
2027-01-15,178,145.0,1.1432,call,20.3,0.735301
2027-01-15,178,110.0,0.8672,put,17.25,0.798127
2027-01-15,178,115.0,0.9067,put,19.75,0.798184
2027-01-15,178,120.0,0.9461,put,22.4,0.798175
2027-01-15,178,125.0,0.9855,put,25.2,0.798329
2027-02-19,213,130.0,1.0249,call,27.1,0.709013
2027-02-19,213,135.0,1.0643,call,25.4,0.713079
2027-02-19,213,140.0,1.1038,call,23.8,0.716386
2027-02-19,213,145.0,1.1432,call,22.3,0.719198
2027-02-19,213,110.0,0.8672,put,18.95,0.788298
2027-02-19,213,115.0,0.9067,put,21.45,0.786687
2027-02-19,213,120.0,0.9461,put,24.05,0.784051
2027-02-19,213,125.0,0.9855,put,27.4,0.798634
2027-03-19,241,130.0,1.0249,call,28.8,0.705444
2027-03-19,241,135.0,1.0643,call,27.05,0.70751
2027-03-19,241,140.0,1.1038,call,25.7,0.716481
2027-03-19,241,145.0,1.1432,call,23.95,0.712809
2027-03-19,241,110.0,0.8672,put,20.3,0.785247
2027-03-19,241,115.0,0.9067,put,23.1,0.790884
2027-03-19,241,120.0,0.9461,put,25.6,0.784555
2027-03-19,241,125.0,0.9855,put,28.5,0.78581
2027-06-17,331,130.0,1.0249,call,33.55,0.694617
2027-06-17,331,135.0,1.0643,call,31.7,0.692855
2027-06-17,331,140.0,1.1038,call,30.35,0.699681
2027-06-17,331,145.0,1.1432,call,28.2,0.687449
2027-06-17,331,150.0,1.1826,call,27.5,0.703931
2027-06-17,331,110.0,0.8672,put,23.5,0.764462
2027-06-17,331,115.0,0.9067,put,26.05,0.761259
2027-06-17,331,120.0,0.9461,put,28.95,0.763808
2027-06-17,331,125.0,0.9855,put,31.6,0.758069
