expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2026-07-24,3,0.00822,127.0,1.01532,0.043,126.8848,0.51443,0.034147,-0.78294,0.04585,0.00498
2026-07-31,10,0.0274,127.0,0.808048,0.043,126.9895,0.52641,0.023464,-0.34473,0.08357,0.01644
2026-08-07,17,0.04658,125.0,1.089252,0.043,127.0943,0.57465,0.013145,-0.35079,0.10729,0.02797
2026-08-14,24,0.06575,125.0,0.994451,0.043,127.1991,0.57765,0.0121,-0.27071,0.12729,0.03905
2026-08-21,31,0.08493,125.0,0.95507,0.043,127.3041,0.58113,0.011066,-0.22936,0.14441,0.04979
2026-08-28,38,0.10411,125.0,0.915382,0.043,127.4091,0.58407,0.010412,-0.19912,0.15963,0.06049
2026-09-18,59,0.16164,130.0,0.868673,0.043,127.7247,0.54937,0.008937,-0.15487,0.20188,0.08575
2026-10-16,87,0.23836,130.0,0.814933,0.043,128.1467,0.56468,0.007801,-0.12035,0.24379,0.12486
2026-11-20,122,0.33425,130.0,0.786498,0.043,128.6762,0.58115,0.006773,-0.0984,0.28648,0.1719
2026-12-18,150,0.41096,130.0,0.758252,0.043,129.1013,0.59048,0.006303,-0.08587,0.31601,0.20915
2027-01-15,178,0.48767,130.0,0.743447,0.043,129.5279,0.5997,0.005868,-0.0774,0.34228,0.24515
2027-02-19,213,0.58356,130.0,0.709064,0.043,130.0631,0.60708,0.005596,-0.06789,0.37254,0.2912
2027-03-19,241,0.66027,130.0,0.705647,0.043,130.4928,0.61535,0.005254,-0.06346,0.39387,0.32514
2027-06-17,331,0.90685,130.0,0.693953,0.043,131.8838,0.63765,0.004473,-0.05306,0.4529,0.42948
