expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2027-01-15,178,0.48767,190.0,0.281225,0.043,190.6323,0.53613,0.01043,-0.04081,0.51664,0.42429
2027-03-19,241,0.66027,190.0,0.279346,0.043,190.8388,0.53962,0.008947,-0.03429,0.59604,0.564
2027-06-17,331,0.90685,190.0,0.282813,0.043,191.1342,0.54386,0.007447,-0.02887,0.68983,0.7543
