expiry,t_days,T_years,atm_strike,atm_iv,rate,forward,delta,gamma,theta_day,vega_pt,rho_pct
2026-07-24,3,0.00822,127.0,1.030063,0.043,127.0649,0.5208,0.033587,-0.79485,0.04588,0.00505
2026-07-31,10,0.0274,127.0,0.869599,0.043,127.1697,0.53238,0.021749,-0.37059,0.0836,0.01651
2026-08-07,17,0.04658,125.0,1.101885,0.043,127.2746,0.5772,0.01296,-0.35486,0.10731,0.02805
2026-08-14,24,0.06575,125.0,0.978541,0.043,127.3796,0.5795,0.012268,-0.26667,0.12735,0.03934
2026-08-21,31,0.08493,125.0,0.959045,0.043,127.4847,0.58323,0.010992,-0.23038,0.14445,0.04997
2026-08-28,38,0.10411,130.0,0.923941,0.043,127.5899,0.53438,0.010496,-0.20438,0.1629,0.05607
2026-09-18,59,0.16164,130.0,0.865282,0.043,127.9059,0.55063,0.008955,-0.15447,0.20209,0.08612
2026-10-16,87,0.23836,130.0,0.810588,0.043,128.3286,0.5656,0.007829,-0.11989,0.24405,0.12539
2026-11-20,122,0.33425,130.0,0.78145,0.043,128.8588,0.58175,0.006805,-0.09793,0.28679,0.17264
2026-12-18,150,0.41096,130.0,0.767991,0.043,129.2845,0.59288,0.006206,-0.08689,0.31601,0.20914
2027-01-15,178,0.48767,130.0,0.738366,0.043,129.7117,0.60006,0.005899,-0.07702,0.34268,0.24623
2027-02-19,213,0.58356,130.0,0.722871,0.043,130.2477,0.61009,0.00547,-0.06903,0.37227,0.29043
2027-03-19,241,0.66027,130.0,0.71399,0.043,130.678,0.61755,0.005177,-0.06412,0.39375,0.32481
2027-06-17,331,0.90685,130.0,0.691408,0.043,132.0709,0.63804,0.004482,-0.05295,0.45338,0.43097
