expiry,t_days,strike,moneyness,side,mid,iv
2026-07-24,3,128.0,1.0077,call,4.25,1.020244
2026-07-24,3,129.0,1.0156,call,3.95,1.049449
2026-07-24,3,130.0,1.0235,call,3.5,1.038872
2026-07-24,3,124.0,0.9762,put,3.3,1.030017
2026-07-24,3,125.0,0.9841,put,3.85,1.056402
2026-07-24,3,126.0,0.992,put,4.35,1.063574
2026-07-24,3,127.0,0.9998,put,4.7,1.030744
2026-07-31,10,128.0,1.0077,call,6.65,0.839292
2026-07-31,10,129.0,1.0156,call,5.95,0.808523
2026-07-31,10,130.0,1.0235,call,5.95,0.858714
2026-07-31,10,131.0,1.0313,call,5.7,0.876725
2026-07-31,10,123.0,0.9684,put,5.6,0.909918
2026-07-31,10,124.0,0.9762,put,6.0,0.903525
2026-07-31,10,125.0,0.9841,put,6.2,0.870418
2026-07-31,10,126.0,0.992,put,6.6,0.8594
2026-07-31,10,127.0,0.9998,put,7.25,0.875794
2026-08-07,17,130.0,1.0235,call,10.55,1.07548
2026-08-07,17,134.0,1.055,call,8.4,1.021814
2026-08-07,17,135.0,1.0628,call,8.3,1.045726
2026-08-07,17,120.0,0.9447,put,8.65,1.126087
2026-08-07,17,125.0,0.9841,put,11.05,1.123923
2026-08-14,24,130.0,1.0235,call,11.0,0.936354
2026-08-14,24,134.0,1.055,call,9.45,0.938114
2026-08-14,24,135.0,1.0628,call,9.2,0.946912
2026-08-14,24,120.0,0.9447,put,9.9,1.054082
2026-08-14,24,125.0,0.9841,put,11.9,1.016853
2026-08-21,31,130.0,1.0235,call,12.6,0.92933
2026-08-21,31,135.0,1.0628,call,10.6,0.925695
2026-08-21,31,120.0,0.9447,put,10.55,0.977688
2026-08-21,31,125.0,0.9841,put,13.2,0.9884
2026-08-28,38,130.0,1.0235,call,13.4,0.885697
2026-08-28,38,134.0,1.055,call,11.75,0.88143
2026-08-28,38,135.0,1.0628,call,11.6,0.894901
2026-08-28,38,136.0,1.0707,call,10.85,0.871002
2026-08-28,38,137.0,1.0786,call,10.55,0.874089
2026-08-28,38,120.0,0.9447,put,11.65,0.957741
2026-08-28,38,125.0,0.9841,put,14.3,0.965038
2026-09-18,59,130.0,1.0235,call,16.1,0.837433
2026-09-18,59,135.0,1.0628,call,14.35,0.847195
2026-09-18,59,120.0,0.9447,put,14.15,0.906896
2026-09-18,59,125.0,0.9841,put,16.7,0.903928
2026-10-16,87,130.0,1.0235,call,18.6,0.784511
2026-10-16,87,135.0,1.0628,call,17.05,0.800256
2026-10-16,87,140.0,1.1022,call,14.9,0.784366
2026-10-16,87,115.0,0.9054,put,14.05,0.857916
2026-10-16,87,120.0,0.9447,put,16.4,0.852632
2026-10-16,87,125.0,0.9841,put,19.3,0.86252
2026-11-20,122,130.0,1.0235,call,21.7,0.762533
2026-11-20,122,135.0,1.0628,call,19.8,0.763029
2026-11-20,122,140.0,1.1022,call,18.45,0.776955
2026-11-20,122,115.0,0.9054,put,17.05,0.84783
2026-11-20,122,120.0,0.9447,put,19.45,0.84136
2026-11-20,122,125.0,0.9841,put,22.3,0.845412
2026-12-18,150,130.0,1.0235,call,24.15,0.75955
2026-12-18,150,135.0,1.0628,call,21.95,0.749857
2026-12-18,150,140.0,1.1022,call,20.5,0.759132
2026-12-18,150,145.0,1.1416,call,18.6,0.750371
2026-12-18,150,115.0,0.9054,put,18.4,0.81786
2026-12-18,150,120.0,0.9447,put,20.8,0.810773
2026-12-18,150,125.0,0.9841,put,23.8,0.818541
2027-01-15,178,130.0,1.0235,call,25.6,0.734576
2027-01-15,178,135.0,1.0628,call,23.6,0.730987
2027-01-15,178,140.0,1.1022,call,22.05,0.736468
2027-01-15,178,145.0,1.1416,call,20.6,0.741163
2027-01-15,178,110.0,0.866,put,17.25,0.799827
2027-01-15,178,115.0,0.9054,put,19.75,0.799971
2027-01-15,178,120.0,0.9447,put,22.1,0.790802
2027-01-15,178,125.0,0.9841,put,25.2,0.800303
2027-02-19,213,130.0,1.0235,call,27.75,0.723526
2027-02-19,213,135.0,1.0628,call,25.4,0.710318
2027-02-19,213,140.0,1.1022,call,23.8,0.713776
2027-02-19,213,145.0,1.1416,call,22.3,0.716721
2027-02-19,213,110.0,0.866,put,18.95,0.789844
2027-02-19,213,115.0,0.9054,put,21.45,0.788307
2027-02-19,213,120.0,0.9447,put,24.05,0.785748
2027-02-19,213,125.0,0.9841,put,27.4,0.800405
2027-03-19,241,130.0,1.0235,call,29.25,0.714053
2027-03-19,241,135.0,1.0628,call,27.4,0.713589
2027-03-19,241,140.0,1.1022,call,25.7,0.71396
2027-03-19,241,145.0,1.1416,call,23.95,0.710419
2027-03-19,241,110.0,0.866,put,20.3,0.786694
2027-03-19,241,115.0,0.9054,put,23.1,0.792395
2027-03-19,241,120.0,0.9447,put,25.6,0.786133
2027-03-19,241,125.0,0.9841,put,28.2,0.7796
2027-06-17,331,130.0,1.0235,call,33.55,0.692082
2027-06-17,331,135.0,1.0628,call,31.7,0.690454
2027-06-17,331,140.0,1.1022,call,30.35,0.697388
2027-06-17,331,145.0,1.1416,call,28.2,0.685276
2027-06-17,331,150.0,1.1809,call,27.5,0.701831
2027-06-17,331,110.0,0.866,put,23.3,0.760669
2027-06-17,331,115.0,0.9054,put,26.05,0.762522
2027-06-17,331,120.0,0.9447,put,28.95,0.765118
2027-06-17,331,125.0,0.9841,put,31.6,0.759429
